Saved Date,Job Url,Job Title,Company Name
"9/27/23, 5:31 AM",http://www.linkedin.com/jobs/view/3700466199,Data Analyst,BT Group
"9/25/23, 7:14 AM",http://www.linkedin.com/jobs/view/3693734507,"Data Analyst- Tableau, Sql, Python",WhiteCrow Research
"9/8/23, 5:58 AM",http://www.linkedin.com/jobs/view/3705697088,"Data Engineer, New Grad",Aglint
"10/11/23, 10:21 AM",http://www.linkedin.com/jobs/view/3734545271,Graduate Apprentice Trainee,Volvo Group
"9/14/23, 5:39 AM",http://www.linkedin.com/jobs/view/3688481761,Credit Risk Data Analyst,NIRA
"8/26/23, 1:21 AM",http://www.linkedin.com/jobs/view/3699641753,Data Research Analyst,My Analytics School
"9/7/23, 5:55 AM",http://www.linkedin.com/jobs/view/3706527362,Consultant - Advanced Analytics,MAGNOOS Information Systems
"9/14/23, 5:40 AM",http://www.linkedin.com/jobs/view/3715489613,Data Analyst,CareerPartner
"8/23/23, 8:02 AM",http://www.linkedin.com/jobs/view/3679800724,Associate-Shopping,Wipro
"9/7/23, 5:54 AM",http://www.linkedin.com/jobs/view/3711195954,Project Associate - Data Analytics (Contract),Array
"9/6/23, 7:50 AM",http://www.linkedin.com/jobs/view/3705697190,Data Science Analyst,Aglint
"9/3/23, 4:48 AM",http://www.linkedin.com/jobs/view/3703781882,Entry-Level Data Analyst,Zerowcode
"9/1/23, 5:52 AM",http://www.linkedin.com/jobs/view/3704918536,Data Analyst,Wipro
"9/5/23, 5:45 AM",http://www.linkedin.com/jobs/view/2843585597,Shopify website developer and SEO expert,SleepAid
"9/4/23, 8:58 AM",http://www.linkedin.com/jobs/view/3711506720,APL - SQL and Data Engineering,Escalent
"10/4/23, 6:02 AM",http://www.linkedin.com/jobs/view/3732455726,Import Data Analyst,HROC (H.R.Organo Chem Pvt. Ltd)
"10/1/23, 10:19 PM",http://www.linkedin.com/jobs/view/3725525974,Data Annotator,Duruper
"9/11/23, 5:44 AM",http://www.linkedin.com/jobs/view/3713569173,Business Analyst,CareerPartner
"8/24/23, 8:21 AM",http://www.linkedin.com/jobs/view/3694154205,Data Analyst / Business Analyst (Entry Level),Idealmet Technologies
"10/5/23, 7:26 AM",http://www.linkedin.com/jobs/view/3732899037,Analyst intern,Blu Ocean Innovations pvt ltd
"9/28/23, 4:41 AM",http://www.linkedin.com/jobs/view/3710070950,Manager,EXL
"8/2/23, 10:43 PM",http://www.linkedin.com/jobs/view/3681855681,Data Analyst Internship ,Yoshops.com
"9/26/23, 10:44 PM",http://www.linkedin.com/jobs/view/3720364933,Data Analyst Trainee & Jobs,SAZ India
"8/28/23, 5:55 AM",http://www.linkedin.com/jobs/view/3702098793,Data Analyst Required in Abroad,Vinfinity Immigration LLP
"9/7/23, 12:18 AM",http://www.linkedin.com/jobs/view/3704890295,Product Support Data Analyst,Esko
"9/7/23, 5:56 AM",http://www.linkedin.com/jobs/view/3692391132,Interface Analyst,Rayden Interactive
"9/25/23, 7:22 AM",http://www.linkedin.com/jobs/view/3722460675,Data Analyst (Excel Expert),SAZ India
"10/2/23, 5:06 AM",http://www.linkedin.com/jobs/view/3713497880,Power BI,cloudEQ
"9/25/23, 7:45 AM",http://www.linkedin.com/jobs/view/3726645804,Data Analyst - Join Our Talent Pool ,Air Apps
"4/4/22, 7:39 AM",http://www.linkedin.com/jobs/view/3006742115,Web Development Intern,Business Web Solutions
"9/6/23, 8:06 AM",http://www.linkedin.com/jobs/view/3690067951,Production Analyst,NatWest Group
"8/31/23, 5:54 AM",http://www.linkedin.com/jobs/view/3705929206,Data Analyst Required in Abroad,Vinfinity Immigration LLP
"9/6/23, 3:45 AM",http://www.linkedin.com/jobs/view/3713685189,Data Analyst,airpay payment services
"10/11/23, 10:22 AM",http://www.linkedin.com/jobs/view/3587006109,Apprentice,Dana Incorporated
