Date,Type,Link
2023-09-28 11:30:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7113077573567299584
2023-09-28 04:48:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7112975667020861440
2023-09-27 18:25:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7112814037222002688
2023-09-27 12:40:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7112727104743440384
2023-09-27 04:34:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7107738635910733824
2023-09-27 04:33:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7112472721468354560
2023-09-26 12:45:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7112399200067174400
2023-09-26 04:22:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7112107205272715264
2023-09-25 14:40:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7112064291230351361
2023-09-25 14:30:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7112063671681323008
2023-09-25 04:44:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7111828271616442368
2023-09-25 04:41:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7111689707121500160
2023-09-25 04:38:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7111733790258921472
2023-09-24 14:42:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7111703426069110785
2023-09-24 14:41:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7111720531166474240
2023-09-24 13:18:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7111688070017499136
2023-09-24 13:18:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7111574025302110208
2023-09-24 12:04:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7111572161789669378
2023-09-24 12:03:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7111384357986086912
2023-09-24 12:03:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7111615383760965632
