Challenge Date,IP Address,User Agent,Country,Challenge Type
Fri Jun 30 06:55:39 UTC 2023,27.122.14.46,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Hong Kong,CAPTCHA_CHALLENGE
Fri Jun 30 06:56:28 UTC 2023,27.122.14.46,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Hong Kong,EMAIL_PIN_CHALLENGE
Sat Oct 14 10:35:37 UTC 2023,2401:4900:5ee6:a2db:0:0:23c:e8d9,"Mozilla/5.0 (Linux; Android 11; SM-M017F Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/105.0.5195.136 Mobile Safari/537.36 com.linkedin.android/168300 [LinkedInApp]/0.848.103",India,EMAIL_PIN_CHALLENGE
Sat Oct 14 10:38:31 UTC 2023,2401:4900:5ee6:a2db:0:0:23c:e8d9,"Mozilla/5.0 (Linux; Android 11; SM-M017F Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/105.0.5195.136 Mobile Safari/537.36 com.linkedin.android/168300 [LinkedInApp]/0.848.103",India,PIN_CHALLENGE
Sat Oct 14 10:41:27 UTC 2023,2401:4900:5ee6:a2db:0:0:23c:e8d9,"Mozilla/5.0 (Linux; Android 11; SM-M017F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Mobile Safari/537.36",India,TWO_STEP_VERIFICATION
