Ad clicked Date,Ad Title/Id
2023/09/26 04:25:21 UTC,145111864
2023/08/17 12:56:36 UTC,145111864
2023/09/27 12:48:48 UTC,283826853
2023/07/25 06:34:55 UTC,145111864
2023/09/25 04:40:08 UTC,145111864
2023/07/25 06:35:44 UTC,145111864
2023/09/25 06:05:04 UTC,145111864
2023/06/08 04:31:28 UTC,260748036
2023/09/25 06:06:09 UTC,145111864
2023/09/07 15:47:45 UTC,145111864
2023/03/13 08:48:49 UTC,197905424
2023/09/07 15:47:47 UTC,145111864
2023/09/21 11:29:39 UTC,145111864
2023/09/07 15:47:50 UTC,145111864
2023/09/21 11:30:07 UTC,145111864
2023/09/06 14:50:46 UTC,145111864
2023/09/26 11:04:56 UTC,145111864
2023/09/07 06:52:51 UTC,291984616
2023/09/26 11:04:59 UTC,145111864
2023/09/07 06:56:33 UTC,145111864
2023/09/22 04:27:33 UTC,273910164
2023/09/07 06:56:43 UTC,145111864
2023/09/22 04:28:18 UTC,273910164
2023/08/20 17:06:48 UTC,145111864
2023/09/22 04:31:22 UTC,252570093
2023/07/24 17:17:39 UTC,145111864
2023/09/11 17:02:06 UTC,290994566
2023/08/06 17:08:46 UTC,145111864
2023/09/29 04:58:43 UTC,145111864
2021/12/24 13:09:24 UTC,151549426
2023/09/29 04:58:43 UTC,145111864
2023/07/26 10:22:12 UTC,110830113
2023/02/23 05:05:46 UTC,147270876
2023/07/26 10:22:18 UTC,110830113
2023/09/10 12:40:23 UTC,306427236
2023/07/26 07:13:49 UTC,145111864
2023/09/27 05:43:53 UTC,145111864
2023/04/25 06:22:30 UTC,145111864
2023/09/27 05:44:29 UTC,145111864
2023/09/06 10:44:15 UTC,145111864
2023/09/28 17:37:54 UTC,145111864
2023/09/06 10:44:50 UTC,145111864
2023/09/28 17:37:59 UTC,145111864
2023/07/27 07:38:59 UTC,145111864
2023/09/28 17:38:04 UTC,145111864
2023/07/27 07:39:20 UTC,145111864
2023/09/28 17:38:05 UTC,145111864
2023/04/20 13:22:47 UTC,145111864
2023/09/28 17:38:05 UTC,145111864
2021/10/15 12:44:52 UTC,143277324
2023/09/28 17:38:05 UTC,145111864
2021/10/18 12:31:47 UTC,148586414
2023/09/28 17:38:05 UTC,145111864
2021/10/18 12:31:33 UTC,148586414
2023/09/28 17:38:07 UTC,145111864
2021/10/19 16:31:21 UTC,163258583
2023/09/28 17:38:07 UTC,145111864
2021/10/27 02:11:55 UTC,112863674
2023/09/28 17:38:10 UTC,145111864
2021/10/27 08:38:50 UTC,143145836
2023/09/28 17:38:10 UTC,145111864
2021/10/28 02:23:02 UTC,164653413
2023/09/29 10:45:57 UTC,145111864
2021/10/27 02:11:55 UTC,112863674
2023/09/29 10:46:03 UTC,145111864
2021/11/01 07:25:14 UTC,143127476
2023/09/28 11:29:36 UTC,145111864
2021/10/28 02:23:04 UTC,164653413
2023/09/28 11:29:37 UTC,145111864
2021/11/07 22:46:16 UTC,146482726
2023/09/28 11:29:37 UTC,145111864
2021/11/15 12:28:41 UTC,152745974
2023/09/28 11:29:37 UTC,145111864
2021/11/15 12:30:36 UTC,147657926
2023/09/28 11:32:00 UTC,145111864
2021/11/06 07:40:53 UTC,165626103
2023/09/28 11:32:04 UTC,145111864
2021/11/15 12:30:37 UTC,147657926
2023/10/01 11:19:29 UTC,145111864
2021/11/21 05:30:41 UTC,147412746
2023/10/01 11:21:34 UTC,145111864
2021/11/22 16:56:48 UTC,168206293
2023/10/01 11:21:43 UTC,145111864
2021/11/24 09:48:54 UTC,133079736
2023/09/30 07:16:54 UTC,145111864
2021/11/24 09:32:11 UTC,143127416
2023/10/02 12:05:55 UTC,145111864
2021/11/25 13:30:24 UTC,152465776
2023/10/02 12:06:24 UTC,145111864
2021/11/29 14:32:34 UTC,150203446
2023/10/02 05:13:09 UTC,145111864
2021/12/04 13:16:26 UTC,140407944
2023/10/02 17:01:48 UTC,145111864
2021/12/15 12:21:58 UTC,140123154
2023/10/02 17:01:48 UTC,145111864
2021/12/20 04:19:25 UTC,147412746
2023/10/02 17:01:48 UTC,293371043
2021/12/21 13:18:38 UTC,151124604
2023/10/02 17:01:48 UTC,145111864
2021/12/24 13:08:58 UTC,172304453
2023/10/02 17:01:48 UTC,293371043
2021/11/24 09:45:38 UTC,133079736
2023/10/05 14:25:54 UTC,145111864
2021/11/26 13:22:06 UTC,149300083
2023/10/04 04:29:58 UTC,145111864
2021/11/17 13:15:25 UTC,146163476
2023/10/04 04:30:31 UTC,145111864
2021/11/24 09:45:39 UTC,133079736
2023/10/04 04:31:18 UTC,293712313
2022/01/04 12:53:48 UTC,154101364
