HashTag,CreatedTime,LastModifiedTime,State
artificialintelligence,2020-09-12 19:02:50,2020-09-12 19:02:50,Follow
competitiveprogramming,2020-09-03 17:22:35,2020-09-03 17:22:35,Follow
freshers,2020-09-01 22:17:21,2020-09-01 22:17:21,Follow
