Event Name,Event Time,Status,External Url
Virtual Job Fair - November 30th,"Nov 30, 2023 07:00 PM - Nov 30, 2023 09:00 PM",APPROVED,
Fundamental of IT Complete Course for Beginners,"May 08, 2022 04:30 AM - May 08, 2022 05:30 AM",APPROVED,"https://teams.microsoft.com/registration/FSxQHJ6kPUGQ92z1Scm69g,K1FNi5ilW0-Dv0urXezphQ,ODfIS62ONkeQUsgUuCvigg,ACMNgFTRz0GM25VCrWJjEg,cBaFvLX81UOtBSWGyonWmQ,TdQh6J8Y1Ue8NNZR2Z_WjQ?mode=read&tenantId=1c502c15-a49e-413d-90f7-6cf549c9baf6"
